,K00613,K18966,K18592,K15372,K15551,K01442,K03119,K10712,K10831,K15552,K23235,K01594,K00659,K01580,K03851,K00681
kofamscan/ko_tables/taurine/MMETSP1459_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP1388_clean.csv,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0920_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1095_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0120_clean.csv,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP1151_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP0006_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1473_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
kofamscan/ko_tables/taurine/MMETSP0272_clean.csv,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
kofamscan/ko_tables/taurine/MMETSP0899_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0151_clean.csv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
kofamscan/ko_tables/taurine/MMETSP1381_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0326_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0912_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP1070_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0900_clean.csv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kofamscan/ko_tables/taurine/MMETSP0014_clean.csv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
